hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[4],sigmoid,25,10.0,32,0.6651694569211923
[4],sigmoid,25,10.0,64,0.750306247447938
[4],sigmoid,25,10.0,128,0.7494895875867701
[4],sigmoid,25,10.0,256,0.6651694569211923
[4],sigmoid,25,10.0,512,0.675786035116374
[4],sigmoid,25,1.0,16,0.7650061249489588
[4],sigmoid,25,1.0,32,0.7721518987341772
[4],sigmoid,25,1.0,64,0.7523478971008575
[4],sigmoid,25,1.0,128,0.7645977950183749
[4],sigmoid,25,1.0,256,0.7554103715802368
[4],sigmoid,25,1.0,512,0.7586770110249081
[4],sigmoid,25,0.1,16,0.7574520212331564
[4],sigmoid,25,0.1,32,0.7574520212331564
[4],sigmoid,25,0.1,64,0.7574520212331564
[4],sigmoid,25,0.1,128,0.750102082482646
[4],sigmoid,25,0.1,256,0.7409146590445079
[4],sigmoid,25,0.1,512,0.6784401796651695
[4],sigmoid,25,0.01,16,0.7460187831768068
[4],sigmoid,25,0.01,32,0.7321355655369539
[4],sigmoid,25,0.01,64,0.6651694569211923
[4],sigmoid,25,0.01,128,0.6651694569211923
[4],sigmoid,25,0.01,256,0.6651694569211923
[4],sigmoid,25,0.01,512,0.6651694569211923
[4],sigmoid,25,0.001,16,0.6651694569211923
[4],sigmoid,25,0.001,32,0.6651694569211923
[4],sigmoid,25,0.001,64,0.6651694569211923
[4],sigmoid,25,0.001,128,0.6651694569211923
[4],sigmoid,25,0.001,256,0.6651694569211923
[4],sigmoid,25,0.001,512,0.6651694569211923
[4],sigmoid,25,0.0001,16,0.6651694569211923
[4],sigmoid,25,0.0001,32,0.6651694569211923
[4],sigmoid,25,0.0001,64,0.33483054307880766
[4],sigmoid,25,0.0001,128,0.5994283380971825
[4],sigmoid,25,0.0001,256,0.6649652919559004
[4],sigmoid,25,0.0001,512,0.3360555328705594
[4],sigmoid,50,10.0,16,0.33483054307880766
[4],sigmoid,50,10.0,32,0.6651694569211923
[4],sigmoid,50,10.0,64,0.6651694569211923
[4],sigmoid,50,10.0,128,0.7578603511637403
[4],sigmoid,50,10.0,256,0.7149857084524296
[4],sigmoid,50,10.0,512,0.5902409146590445
[4],sigmoid,50,1.0,16,0.7652102899142507
[4],sigmoid,50,1.0,32,0.7419354838709677
[4],sigmoid,50,1.0,64,0.7678644344630461
[4],sigmoid,50,1.0,128,0.7449979583503471
[4],sigmoid,50,1.0,256,0.7690894242547979
[4],sigmoid,50,1.0,512,0.7533687219273173
[4],sigmoid,50,0.1,16,0.7719477337688853
[4],sigmoid,50,0.1,32,0.7556145365455288
[4],sigmoid,50,0.1,64,0.759493670886076
[4],sigmoid,50,0.1,128,0.7621478154348714
[4],sigmoid,50,0.1,256,0.7568395263372806
[4],sigmoid,50,0.1,512,0.7413229889750919
[4],sigmoid,50,0.01,16,0.759493670886076
[4],sigmoid,50,0.01,32,0.7517354022049816
[4],sigmoid,50,0.01,64,0.7347897100857493
[4],sigmoid,50,0.01,128,0.6682319314005717
[4],sigmoid,50,0.01,256,0.6657819518170682
[4],sigmoid,50,0.01,512,0.6651694569211923
[4],sigmoid,50,0.001,16,0.6725193956717027
[4],sigmoid,50,0.001,32,0.6651694569211923
[4],sigmoid,50,0.001,64,0.6651694569211923
[4],sigmoid,50,0.001,128,0.6651694569211923
[4],sigmoid,50,0.001,256,0.6651694569211923
[4],sigmoid,50,0.001,512,0.6659861167823602
[4],sigmoid,50,0.0001,16,0.6651694569211923
[4],sigmoid,50,0.0001,32,0.6639444671294406
[4],sigmoid,50,0.0001,64,0.6651694569211923
[4],sigmoid,50,0.0001,128,0.48019599836668025
[4],sigmoid,50,0.0001,256,0.33483054307880766
[4],sigmoid,50,0.0001,512,0.6655777868517763
[4],sigmoid,100,10.0,16,0.5171498570845243
[4],sigmoid,100,10.0,32,0.4993875051041241
[4],sigmoid,100,10.0,64,0.6651694569211923
[4],sigmoid,100,10.0,128,0.6651694569211923
[4],sigmoid,100,10.0,256,0.6651694569211923
[4],sigmoid,100,10.0,512,0.7008983258472846
[4],sigmoid,100,1.0,16,0.7625561453654552
[4],sigmoid,100,1.0,32,0.7578603511637403
[4],sigmoid,100,1.0,64,0.7635769701919151
[4],sigmoid,100,1.0,128,0.7703144140465497
[4],sigmoid,100,1.0,256,0.7437729685585953
[4],sigmoid,100,1.0,512,0.7672519395671703
[4],sigmoid,100,0.1,16,0.7719477337688853
[4],sigmoid,100,0.1,32,0.7746018783176807
[4],sigmoid,100,0.1,64,0.7633728052266231
[4],sigmoid,100,0.1,128,0.7584728460596162
[4],sigmoid,100,0.1,256,0.759493670886076
[4],sigmoid,100,0.1,512,0.7550020416496529
[4],sigmoid,100,0.01,16,0.7586770110249081
[4],sigmoid,100,0.01,32,0.7586770110249081
[4],sigmoid,100,0.01,64,0.749693752552062
[4],sigmoid,100,0.01,128,0.7327480604328297
[4],sigmoid,100,0.01,256,0.689873417721519
[4],sigmoid,100,0.01,512,0.6655777868517763
[4],sigmoid,100,0.001,16,0.6964066966108616
[4],sigmoid,100,0.001,32,0.6745610453246222
[4],sigmoid,100,0.001,64,0.6651694569211923
[4],sigmoid,100,0.001,128,0.6651694569211923
[4],sigmoid,100,0.001,256,0.6651694569211923
[4],sigmoid,100,0.001,512,0.6651694569211923
[4],sigmoid,100,0.0001,16,0.6651694569211923
[4],sigmoid,100,0.0001,32,0.6645569620253164
[4],sigmoid,100,0.0001,64,0.6651694569211923
[4],sigmoid,100,0.0001,128,0.6653736218864843
[4],sigmoid,100,0.0001,256,0.33258472846059617
[4],sigmoid,100,0.0001,512,0.33483054307880766
[4],sigmoid,250,10.0,16,0.6653736218864843
[4],sigmoid,250,10.0,32,0.6651694569211923
[4],sigmoid,250,10.0,64,0.6651694569211923
[4],sigmoid,250,10.0,128,0.7366271947733769
[4],sigmoid,250,10.0,256,0.5630869742752144
