hidden_layers,activation_fn,epochs,learning_rate,batch_size,mse
[4],sigmoid,250,0.01,32,0.015736144
[4],sigmoid,250,0.01,64,0.015689652
[4],sigmoid,250,0.01,128,0.01692394
[4],sigmoid,250,0.01,256,0.016579114
[4],sigmoid,250,0.01,512,0.016446877
[4],sigmoid,250,0.001,16,0.016099902
[4],sigmoid,250,0.001,32,0.016095022
[4],sigmoid,250,0.001,64,0.017738137
[4],sigmoid,250,0.001,128,0.01949055
[4],sigmoid,250,0.001,256,0.020701936
[4],sigmoid,250,0.001,512,0.028829133
[4],sigmoid,250,0.0001,16,0.023743337
[4],sigmoid,250,0.0001,32,0.026982084
[4],sigmoid,250,0.0001,64,0.025189523
[4],sigmoid,250,0.0001,128,0.029507134
[4],sigmoid,250,0.0001,256,0.028232884
[4],sigmoid,250,0.0001,512,0.06476842
[4],relu,1,10.0,16,
[4],relu,1,10.0,32,
[4],relu,1,10.0,64,
[4],relu,1,10.0,128,
[4],relu,1,10.0,256,
[4],relu,1,10.0,512,
[4],relu,1,1.0,16,
[4],relu,1,1.0,32,11.728
[4],relu,1,1.0,64,1.7176818
[4],relu,1,1.0,128,
[4],relu,1,1.0,256,1.3829352
[4],relu,1,1.0,512,
[4],relu,1,0.1,16,0.017211646
[4],relu,1,0.1,32,0.01867271
[4],relu,1,0.1,64,0.018357353
[4],relu,1,0.1,128,0.02676747
[4],relu,1,0.1,256,0.024543956
[4],relu,1,0.1,512,0.02791203
[4],relu,1,0.01,16,0.022884227
[4],relu,1,0.01,32,0.036365315
[4],relu,1,0.01,64,0.0435794
[4],relu,1,0.01,128,0.059210047
[4],relu,1,0.01,256,0.05948582
[4],relu,1,0.01,512,0.10815148
[4],relu,1,0.001,16,0.20974925
[4],relu,1,0.001,32,0.12079356
[4],relu,1,0.001,64,0.6191408
[4],relu,1,0.001,128,0.67928904
[4],relu,1,0.001,256,1.0844028
[4],relu,1,0.001,512,0.38068563
[4],relu,1,0.0001,16,0.47278276
[4],relu,1,0.0001,32,0.17446098
[4],relu,1,0.0001,64,1.2878845
[4],relu,1,0.0001,128,0.17998245
[4],relu,1,0.0001,256,0.038619004
[4],relu,1,0.0001,512,0.6901531
[4],relu,10,10.0,16,
[4],relu,10,10.0,32,
[4],relu,10,10.0,64,
[4],relu,10,10.0,128,
[4],relu,10,10.0,256,
[4],relu,10,10.0,512,
[4],relu,10,1.0,16,
[4],relu,10,1.0,32,
[4],relu,10,1.0,64,2.7751167
[4],relu,10,1.0,128,0.6792788
[4],relu,10,1.0,256,
[4],relu,10,1.0,512,
[4],relu,10,0.1,16,0.014897252
[4],relu,10,0.1,32,0.01732954
[4],relu,10,0.1,64,0.01649332
[4],relu,10,0.1,128,0.017731281
[4],relu,10,0.1,256,0.018758409
[4],relu,10,0.1,512,0.019080432
[4],relu,10,0.01,16,0.017099475
[4],relu,10,0.01,32,0.020498732
[4],relu,10,0.01,64,0.021113517
[4],relu,10,0.01,128,0.021407405
[4],relu,10,0.01,256,0.022784373
[4],relu,10,0.01,512,0.041657653
[4],relu,10,0.001,16,0.025068145
[4],relu,10,0.001,32,0.02777373
[4],relu,10,0.001,64,0.05189867
[4],relu,10,0.001,128,0.043567315
[4],relu,10,0.001,256,0.06779961
[4],relu,10,0.001,512,0.16947798
[4],relu,10,0.0001,16,0.1816348
[4],relu,10,0.0001,32,0.27991003
[4],relu,10,0.0001,64,0.057910625
[4],relu,10,0.0001,128,0.39386815
[4],relu,10,0.0001,256,0.05724158
[4],relu,10,0.0001,512,0.64813864
[4],relu,25,10.0,16,
[4],relu,25,10.0,32,
[4],relu,25,10.0,64,
[4],relu,25,10.0,128,
[4],relu,25,10.0,256,
[4],relu,25,10.0,512,
[4],relu,25,1.0,16,
[4],relu,25,1.0,32,
[4],relu,25,1.0,64,
[4],relu,25,1.0,128,7.34167
[4],relu,25,1.0,256,
[4],relu,25,1.0,512,
[4],relu,25,0.1,16,0.014035779
[4],relu,25,0.1,32,0.015328818
[4],relu,25,0.1,64,0.014786848
[4],relu,25,0.1,128,0.015341357
[4],relu,25,0.1,256,0.016494352
[4],relu,25,0.1,512,0.016498106
[4],relu,25,0.01,16,0.015882922
[4],relu,25,0.01,32,0.017740564
[4],relu,25,0.01,64,0.017556999
[4],relu,25,0.01,128,0.016688434
[4],relu,25,0.01,256,0.022976745
[4],relu,25,0.01,512,0.021008486
[4],relu,25,0.001,16,0.02147883
[4],relu,25,0.001,32,0.022937132
[4],relu,25,0.001,64,0.029954175
[4],relu,25,0.001,128,0.08358756
[4],relu,25,0.001,256,0.04266742
[4],relu,25,0.001,512,0.06846805
[4],relu,25,0.0001,16,0.06735394
[4],relu,25,0.0001,32,0.046368502
[4],relu,25,0.0001,64,0.06964819
[4],relu,25,0.0001,128,0.12213713
[4],relu,25,0.0001,256,0.31040874
[4],relu,25,0.0001,512,0.43154055
[4],relu,50,10.0,16,
[4],relu,50,10.0,32,
[4],relu,50,10.0,64,
[4],relu,50,10.0,128,
[4],relu,50,10.0,256,
[4],relu,50,10.0,512,
[4],relu,50,1.0,16,
[4],relu,50,1.0,32,0.21524268
[4],relu,50,1.0,64,10.4211445
[4],relu,50,1.0,128,
[4],relu,50,1.0,256,
[4],relu,50,1.0,512,1.1104307
[4],relu,50,0.1,16,0.01441172
[4],relu,50,0.1,32,0.016519856
[4],relu,50,0.1,64,0.014175812
[4],relu,50,0.1,128,0.015283375
[4],relu,50,0.1,256,0.015556961
[4],relu,50,0.1,512,0.0154590225
[4],relu,50,0.01,16,0.015661895
[4],relu,50,0.01,32,0.016267672
[4],relu,50,0.01,64,0.016117882
[4],relu,50,0.01,128,0.017567603
[4],relu,50,0.01,256,0.018016826
[4],relu,50,0.01,512,0.023199871
[4],relu,50,0.001,16,0.01853193
[4],relu,50,0.001,32,0.017799884
[4],relu,50,0.001,64,0.02347048
[4],relu,50,0.001,128,0.02220958
[4],relu,50,0.001,256,0.046198733
[4],relu,50,0.001,512,0.04959352
[4],relu,50,0.0001,16,0.028580304
[4],relu,50,0.0001,32,0.041722782
[4],relu,50,0.0001,64,0.12740538
[4],relu,50,0.0001,128,0.037404776
[4],relu,50,0.0001,256,0.031212285
[4],relu,50,0.0001,512,0.2608628
[4],relu,100,10.0,16,
[4],relu,100,10.0,32,
[4],relu,100,10.0,64,
[4],relu,100,10.0,128,
[4],relu,100,10.0,256,
[4],relu,100,10.0,512,
[4],relu,100,1.0,16,
[4],relu,100,1.0,32,51.85941
[4],relu,100,1.0,64,1.6799344
[4],relu,100,1.0,128,
[4],relu,100,1.0,256,1.5404849
[4],relu,100,1.0,512,
[4],relu,100,0.1,16,0.0141479485
[4],relu,100,0.1,32,0.0142538
[4],relu,100,0.1,64,0.014159399
[4],relu,100,0.1,128,0.014178948
[4],relu,100,0.1,256,0.015030267
[4],relu,100,0.1,512,0.015460518
[4],relu,100,0.01,16,0.015175805
[4],relu,100,0.01,32,0.015286821
[4],relu,100,0.01,64,0.015052721
[4],relu,100,0.01,128,0.017577015
[4],relu,100,0.01,256,0.017052129
[4],relu,100,0.01,512,0.016363038
[4],relu,100,0.001,16,0.016354123
[4],relu,100,0.001,32,0.016094327
[4],relu,100,0.001,64,0.019913733
[4],relu,100,0.001,128,0.024655068
[4],relu,100,0.001,256,0.028027106
[4],relu,100,0.001,512,0.040610783
[4],relu,100,0.0001,16,0.025847191
[4],relu,100,0.0001,32,0.044100195
[4],relu,100,0.0001,64,0.054151226
[4],relu,100,0.0001,128,0.045165237
[4],relu,100,0.0001,256,0.121014096
[4],relu,100,0.0001,512,0.13237646
[4],relu,250,10.0,16,
[4],relu,250,10.0,32,
[4],relu,250,10.0,64,
[4],relu,250,10.0,128,
[4],relu,250,10.0,256,
[4],relu,250,10.0,512,
[4],relu,250,1.0,16,
[4],relu,250,1.0,32,
